# GX (Channel Output Probability) Table
# Parameters: Pi=0.004000 Pd=0.004000 Ps=0.004000 Pt=0.992000
# Nu=6 Q=18 Nu2min=3 Nu2max=9
# Format: ly binary(y) xi probability
ly	binary(y)	xi	probability
5	00110	13	1.543363329520e-05
5	00110	14	3.055885286988e-05
5	00110	15	4.022697461256e-12
5	00110	16	1.849516674345e-07
5	00110	17	1.234710457055e-07
5	00111	0	3.812540796164e-03
5	00111	1	3.812294866672e-03
5	00111	2	3.812294866664e-03
5	00111	3	1.574179116076e-05
5	00111	4	1.549586166879e-05
5	00111	5	1.549586166076e-05
5	00111	6	1.859453379088e-07
5	00111	7	1.859453298796e-07
5	00111	8	1.856954288407e-07
5	00111	9	1.567931688864e-05
5	00111	10	1.543338739667e-05
5	00111	11	1.543338738865e-05
5	00111	12	1.234710657940e-07
5	00111	13	1.234710577648e-07
5	00111	14	1.232211567259e-07
5	00111	15	7.457887173639e-10
5	00111	16	7.457806881574e-10
5	00111	17	4.958796492644e-10
5	01000	0	1.232251112235e-07
5	01000	1	1.237219184709e-07
5	01000	2	1.237219265001e-07
5	01000	3	3.049687144650e-05
5	01000	4	3.049736825375e-05
5	01000	5	3.049736826178e-05
5	01000	6	4.580678876103e-05
5	01000	7	4.580678876905e-05
5	01000	8	4.593049178240e-05
5	01000	9	9.956897889542e-10
5	01000	10	1.492497036312e-09
5	01000	11	1.492505065519e-09
5	01000	12	1.531091300431e-05
5	01000	13	1.531091301234e-05
5	01000	14	1.543461602569e-05
5	01000	15	1.531042413024e-05
5	01000	16	1.531042413827e-05
5	01000	17	1.543412715162e-05
5	01001	0	3.068230894128e-05
5	01001	1	3.062107125917e-05
5	01001	2	7.527261618753e-10
5	01001	3	7.563164123595e-03
5	01001	4	3.796984695414e-03
5	01001	5	1.537140594536e-05
5	01001	6	7.578289835002e-03
5	01001	7	1.543313547237e-05
5	01001	8	1.844627733402e-07
5	01001	9	1.859443064612e-07
5	01001	10	2.476678916092e-07
5	01001	11	7.497514207800e-10
5	01001	12	3.781614288113e-03
5	01001	13	1.239599120673e-07
5	01001	14	6.198740944243e-08
5	01001	15	4.556234077416e-05
5	01001	16	1.518794477567e-05
5	01001	17	6.223334389248e-08
5	01010	0	3.031390606853e-05
5	01010	1	6.445459166799e-08
5	01010	2	3.043835277929e-05
5	01010	3	3.043538980940e-05
5	01010	4	3.781490829027e-03
5	01010	5	7.562919178784e-03
5	01010	6	1.859383325389e-07
5	01010	7	7.562919178784e-03
5	01010	8	3.043835277929e-05
5	01010	9	6.149162177634e-08
5	01010	10	6.247927047390e-08
5	01010	11	1.859383325389e-07
5	01010	12	6.247927047390e-08
5	01010	13	3.781490829027e-03
5	01010	14	6.445459166799e-08
5	01010	15	6.149162177634e-08
5	01010	16	3.043538980940e-05
5	01010	17	3.031390606853e-05
5	01011	0	7.548039892724e-03
5	01011	1	4.323666349917e-07
5	01011	2	1.859462815818e-07
5	01011	3	7.578289344193e-03
5	01011	4	3.796922969870e-03
5	01011	5	3.796738030150e-03
5	01011	6	3.068132426348e-05
5	01011	7	3.055786517733e-05
5	01011	8	1.229811599395e-07
5	01011	9	1.531116489680e-05
5	01011	10	1.859423390968e-07
5	01011	11	6.248325294413e-08
5	01011	12	1.531066806152e-05
5	01011	13	1.524868960899e-05
5	01011	14	5.057880125819e-10
5	01011	15	1.839709683207e-07
5	01011	16	1.834731494253e-07
5	01011	17	1.219895248528e-07
5	01100	0	1.234710457055e-07
5	01100	1	3.055885286988e-05
5	01100	2	3.080527521457e-05
5	01100	3	1.849516674345e-07
5	01100	4	1.543363329520e-05
5	01100	5	1.561857500626e-05
5	01100	6	3.796923216780e-03
5	01100	7	3.797046677857e-03
5	01100	8	1.134483889672e-02
5	01100	9	4.022697461256e-12
5	01100	10	6.198545405720e-08
5	01100	11	1.854465314853e-07
5	01100	12	1.851976099938e-07
5	01100	13	2.471780537932e-07
5	01100	14	3.781798245151e-03
5	01100	15	6.296915609487e-08
5	01100	16	6.346896626571e-08
5	01100	17	1.537338429754e-05
5	01101	0	3.068230894128e-05
5	01101	1	7.563164123595e-03
5	01101	2	1.859443064612e-07
5	01101	3	3.062107125917e-05
5	01101	4	3.796984695414e-03
5	01101	5	2.476678916092e-07
5	01101	6	7.578289835002e-03
5	01101	7	3.781614288113e-03
5	01101	8	4.556234077416e-05
5	01101	9	7.527261618753e-10
5	01101	10	1.537140594536e-05
5	01101	11	7.497514207800e-10
5	01101	12	1.543313547237e-05
5	01101	13	1.239599120673e-07
5	01101	14	1.518794477567e-05
5	01101	15	1.844627733402e-07
5	01101	16	6.198740944243e-08
5	01101	17	6.223334389248e-08
5	01110	0	1.847136821244e-07
5	01110	1	1.555635260656e-05
5	01110	2	7.578780952256e-03
5	01110	3	1.232261070056e-07
5	01110	4	1.537190376419e-05
5	01110	5	3.812293871014e-03
5	01110	6	1.549486503144e-05
5	01110	7	3.812293871014e-03
5	01110	8	7.578780952256e-03
5	01110	9	2.529161832211e-10
5	01110	10	7.497433271464e-10
5	01110	11	1.549486503144e-05
5	01110	12	7.497433271464e-10
5	01110	13	1.537190376419e-05
5	01110	14	1.555635260656e-05
5	01110	15	2.529161832211e-10
5	01110	16	1.232261070056e-07
5	01110	17	1.847136821244e-07
5	01111	0	4.593172938012e-05
5	01111	1	4.593172837649e-05
5	01111	2	4.593172837649e-05
5	01111	3	3.062132317550e-05
5	01111	4	3.062132217187e-05
5	01111	5	3.062132217187e-05
5	01111	6	3.062082733989e-05
5	01111	7	3.062082733989e-05
5	01111	8	3.062082733985e-05
5	01111	9	6.297512992123e-08
5	01111	10	6.297412628647e-08
5	01111	11	6.297412628647e-08
5	01111	12	6.247929430427e-08
5	01111	13	6.247929430427e-08
5	01111	14	6.247929427208e-08
5	01111	15	7.448010131385e-10
5	01111	16	7.448010131385e-10
5	01111	17	7.448009809572e-10
5	10000	0	7.448009809572e-10
5	10000	1	7.448010131385e-10
5	10000	2	7.448010131385e-10
5	10000	3	6.247929427208e-08
5	10000	4	6.247929430427e-08
5	10000	5	6.247929430427e-08
5	10000	6	6.297412628647e-08
5	10000	7	6.297412628647e-08
5	10000	8	6.297512992123e-08
5	10000	9	3.062082733985e-05
5	10000	10	3.062082733989e-05
5	10000	11	3.062082733989e-05
5	10000	12	3.062132217187e-05
5	10000	13	3.062132217187e-05
5	10000	14	3.062132317550e-05
5	10000	15	4.593172837649e-05
5	10000	16	4.593172837649e-05
5	10000	17	4.593172938012e-05
5	10001	0	1.847136821244e-07
5	10001	1	1.232261070056e-07
5	10001	2	2.529161832211e-10
5	10001	3	1.555635260656e-05
5	10001	4	1.537190376419e-05
5	10001	5	7.497433271464e-10
5	10001	6	1.549486503144e-05
5	10001	7	7.497433271464e-10
5	10001	8	2.529161832211e-10
5	10001	9	7.578780952256e-03
5	10001	10	3.812293871014e-03
5	10001	11	1.549486503144e-05
5	10001	12	3.812293871014e-03
5	10001	13	1.537190376419e-05
5	10001	14	1.232261070056e-07
5	10001	15	7.578780952256e-03
5	10001	16	1.555635260656e-05
5	10001	17	1.847136821244e-07
5	10010	0	6.223334389248e-08
5	10010	1	6.198740944243e-08
5	10010	2	1.844627733402e-07
5	10010	3	1.518794477567e-05
5	10010	4	1.239599120673e-07
5	10010	5	1.543313547237e-05
5	10010	6	7.497514207800e-10
5	10010	7	1.537140594536e-05
5	10010	8	7.527261618753e-10
5	10010	9	4.556234077416e-05
5	10010	10	3.781614288113e-03
5	10010	11	7.578289835002e-03
5	10010	12	2.476678916092e-07
5	10010	13	3.796984695414e-03
5	10010	14	3.062107125917e-05
5	10010	15	1.859443064612e-07
5	10010	16	7.563164123595e-03
5	10010	17	3.068230894128e-05
5	10011	0	1.537338429754e-05
5	10011	1	6.346896626571e-08
5	10011	2	6.296915609487e-08
5	10011	3	3.781798245151e-03
5	10011	4	2.471780537932e-07
5	10011	5	1.851976099938e-07
5	10011	6	1.854465314853e-07
5	10011	7	6.198545405720e-08
5	10011	8	4.022697461256e-12
5	10011	9	1.134483889672e-02
5	10011	10	3.797046677857e-03
5	10011	11	3.796923216780e-03
5	10011	12	1.561857500626e-05
5	10011	13	1.543363329520e-05
5	10011	14	1.849516674345e-07
5	10011	15	3.080527521457e-05
5	10011	16	3.055885286988e-05
5	10011	17	1.234710457055e-07
5	10100	0	1.219895248528e-07
5	10100	1	1.834731494253e-07
