# GXNew Probability Table: P(y|x,e)
# Format: Nu2 binary(y) binary(xi) error_state probability
# error_state: 0=Match, 1=Insertion, 2=Deletion, 3=Substitution
Nu2	binary(y)	binary(xi)	error_state	probability
4	0010	010110	0	2.339118e-06
4	0010	010110	1	3.341598e-07
4	0010	010110	2	3.341598e-07
4	0010	010110	3	3.341598e-07
4	0010	011001	0	0.000000e+00
4	0010	011001	1	0.000000e+00
4	0010	011001	2	0.000000e+00
4	0010	011001	3	0.000000e+00
4	0010	011010	0	4.857946e-06
4	0010	011010	1	6.939923e-07
4	0010	011010	2	6.939923e-07
4	0010	011010	3	6.939923e-07
4	0010	011100	0	1.732599e-08
4	0010	011100	1	2.475142e-09
4	0010	011100	2	2.475142e-09
4	0010	011100	3	2.475142e-09
4	0010	100011	0	0.000000e+00
4	0010	100011	1	0.000000e+00
4	0010	100011	2	0.000000e+00
4	0010	100011	3	0.000000e+00
4	0010	100101	0	0.000000e+00
4	0010	100101	1	0.000000e+00
4	0010	100101	2	0.000000e+00
4	0010	100101	3	0.000000e+00
4	0010	100110	0	2.324157e-06
4	0010	100110	1	3.320224e-07
4	0010	100110	2	3.320224e-07
4	0010	100110	3	3.320224e-07
