# GENew Probability Table: P(e_(i+1)v|...)
# Format: Nu2 binary(y) binary(xi) error_state probability
# error_state: 0=Match, 1=Insertion, 2=Deletion, 3=Substitution
Nu2	binary(y)	binary(xi)	error_state	probability
4	0001	011010	1	5.383721e-14
4	0001	011010	2	3.900940e-10
4	0001	011010	3	2.788982e-11
4	0001	011100	0	0.000000e+00
4	0001	011100	1	7.543643e-12
4	0001	011100	2	3.277145e-10
4	0001	011100	3	4.195513e-12
4	0001	100011	0	2.243333e-08
4	0001	100011	1	5.747143e-16
4	0001	100011	2	3.409327e-07
4	0001	100011	3	0.000000e+00
4	0001	100101	0	2.471218e-08
4	0001	100101	1	9.081766e-16
4	0001	100101	2	4.363770e-08
4	0001	100101	3	0.000000e+00
4	0001	100110	0	0.000000e+00
4	0001	100110	1	4.549264e-14
4	0001	100110	2	4.410116e-08
4	0001	100110	3	2.082846e-13
4	0001	101001	0	2.388937e-08
4	0001	101001	1	7.745215e-14
4	0001	101001	2	2.734922e-12
4	0001	101001	3	0.000000e+00
4	0001	101010	0	0.000000e+00
4	0001	101010	1	1.063175e-14
4	0001	101010	2	4.685089e-10
4	0001	101010	3	1.803579e-13
4	0001	101100	0	0.000000e+00
4	0001	101100	1	5.388219e-14
4	0001	101100	2	3.178976e-11
4	0001	101100	3	2.581409e-12
4	0001	110001	0	3.339738e-06
4	0001	110001	1	7.745215e-14
4	0001	110001	2	7.939015e-13
4	0001	110001	3	0.000000e+00
4	0001	110010	0	0.000000e+00
4	0001	110010	1	4.555549e-14
4	0001	110010	2	3.863807e-10
4	0001	110010	3	2.792098e-11
4	0001	110100	0	0.000000e+00
4	0001	110100	1	4.882652e-14
4	0001	110100	2	3.258670e-10
4	0001	110100	3	2.612560e-12
4	0010	001011	0	0.000000e+00
4	0010	001011	1	7.580871e-12
4	0010	001011	2	6.367513e-05
4	0010	001011	3	7.488872e-09
4	0010	001101	0	0.000000e+00
4	0010	001101	1	1.511070e-11
4	0010	001101	2	7.514283e-07
4	0010	001101	3	1.545429e-14
4	0010	001110	0	6.689676e-06
4	0010	001110	1	0.000000e+00
4	0010	001110	2	7.150163e-08
4	0010	001110	3	0.000000e+00
4	0010	010011	0	0.000000e+00
4	0010	010011	1	1.343157e-13
4	0010	010011	2	6.393467e-10
4	0010	010011	3	7.493021e-09
4	0010	010101	0	0.000000e+00
4	0010	010101	1	7.624166e-12
4	0010	010101	2	3.407345e-07
4	0010	010101	3	2.237389e-13
4	0010	010110	0	4.171254e-08
4	0010	010110	1	0.000000e+00
4	0010	010110	2	6.923842e-10
4	0010	010110	3	0.000000e+00
4	0010	011001	0	0.000000e+00
4	0010	011001	1	1.511907e-11
4	0010	011001	2	4.387148e-08
4	0010	011001	3	2.792041e-11
4	0010	011010	0	3.341955e-06
4	0010	011010	1	5.747143e-16
4	0010	011010	2	4.363601e-08
4	0010	011010	3	0.000000e+00
4	0010	011100	0	2.330003e-09
4	0010	011100	1	7.695525e-14
4	0010	011100	2	6.643518e-10
4	0010	011100	3	0.000000e+00
4	0010	100011	0	0.000000e+00
4	0010	100011	1	9.111024e-14
4	0010	100011	2	3.366957e-11
4	0010	100011	3	3.781091e-09
4	0010	100101	0	0.000000e+00
4	0010	100101	1	1.344056e-13
4	0010	100101	2	3.406508e-07
4	0010	100101	3	2.084659e-13
4	0010	100110	0	4.025517e-08
4	0010	100110	1	0.000000e+00
4	0010	100110	2	3.809594e-10
